1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 
2615697582658035838274969 2615697582658035838273144 2615697582658035838379280 2615697582658035832220993 2615697582658036189506761 2615697582658015460877205 2615697582659218072624522 2615697582589446213880874 2615697586637396255363754 2615697351787704224960659 2615710977049202405431163 2614920481011976324825199 2660782645562255567129980 28 2615697582658035838274955 2615697582658035838274954 2615697582658035838274953 2615697582658035838274952 2615697582658035838274951 2615697582658035838274950 2615697582658035838274949 2615697582658035838274948 2615697582658035838274947 2615697582658035838274946 2615697582658035838274945 2615697582658035838274944 2615697582658035838274943 2615697582658035838274942 2615697582658035838274941 2615697582658035838274940 2615697582658035838274939 2615697582658035838274938 2615697582658035838274937 2615697582658035838274936 2615697582658035838274935 2615697582658035838274934 2615697582658035838274933 2615697582658035838274932 2615697582658035838274931 2615697582658035838274930 2615697582658035838274929 2615697582658035838274928 2615697582658035838274927 2615697582658035838274926 2615697582658035838274925 2615697582658035838274924 2615697582658035838274923 2615697582658035838274922 2615697582658035838274921 2615697582658035838274920 2615697582658035838274919 2615697582658035838274918 2615697582658035838274917 2615697582658035838274916 2615697582658035838274915 2615697582658035838274914 2615697582658035838274913 2615697582658035838274912 2615697582658035838274911 2615697582658035838274910 
151754780922857006784120457 151754780922857006784122282 151754780922857006784016146 151754780922857006790174433 151754780922857006432888665 151754780922857027161518221 151754780922855824549770904 151754780922925596408514552 151754780918877646367031672 151754781153727338397434767 151754767528465840216964263 151755558024503066297570227 151709695859952787055265446 154370478505515042622395398 30 151754780922857006784120472 151754780922857006784120473 151754780922857006784120474 151754780922857006784120475 151754780922857006784120476 151754780922857006784120477 151754780922857006784120478 151754780922857006784120479 151754780922857006784120480 151754780922857006784120481 151754780922857006784120482 151754780922857006784120483 151754780922857006784120484 151754780922857006784120485 151754780922857006784120486 151754780922857006784120487 151754780922857006784120488 151754780922857006784120489 151754780922857006784120490 151754780922857006784120491 151754780922857006784120492 151754780922857006784120493 151754780922857006784120494 151754780922857006784120495 151754780922857006784120496 151754780922857006784120497 151754780922857006784120498 151754780922857006784120499 151754780922857006784120500 151754780922857006784120501 151754780922857006784120502 151754780922857006784120503 151754780922857006784120504 151754780922857006784120505 151754780922857006784120506 151754780922857006784120507 151754780922857006784120508 151754780922857006784120509 151754780922857006784120510 151754780922857006784120511 151754780922857006784120512 151754780922857006784120513 151754780922857006784120514 151754780922857006784120515 151754780922857006784120516 
8804348669979673501153089236 8804348669979673501153087411 8804348669979673501153193547 8804348669979673501147035260 8804348669979673501504321028 8804348669979673480775691472 8804348669979674683387438789 8804348669979604911528695141 8804348669983652861570178021 8804348669748803169539774926 8804348683374064667720245430 8804347892878027441639639466 8804393755042577720881944247 8801732972397015465314814295 8956103450902530507937209663 32 8804348669979673501153089220 8804348669979673501153089219 8804348669979673501153089218 8804348669979673501153089217 8804348669979673501153089216 8804348669979673501153089215 8804348669979673501153089214 8804348669979673501153089213 8804348669979673501153089212 8804348669979673501153089211 8804348669979673501153089210 8804348669979673501153089209 8804348669979673501153089208 8804348669979673501153089207 8804348669979673501153089206 8804348669979673501153089205 8804348669979673501153089204 8804348669979673501153089203 8804348669979673501153089202 8804348669979673501153089201 8804348669979673501153089200 8804348669979673501153089199 8804348669979673501153089198 8804348669979673501153089197 8804348669979673501153089196 8804348669979673501153089195 8804348669979673501153089194 8804348669979673501153089193 8804348669979673501153089192 8804348669979673501153089191 8804348669979673501153089190 8804348669979673501153089189 8804348669979673501153089188 8804348669979673501153089187 8804348669979673501153089186 8804348669979673501153089185 8804348669979673501153089184 8804348669979673501153089183 8804348669979673501153089182 8804348669979673501153089181 8804348669979673501153089180 8804348669979673501153089179 8804348669979673501153089178 8804348669979673501153089177 
510801406263289952965989193462 510801406263289952965989195287 510801406263289952965989089151 510801406263289952965995247438 510801406263289952965637961670 510801406263289952986366591226 510801406263289951783754843909 510801406263290021555613587557 510801406263285973605572104677 510801406263520823297602507772 510801406249895561799422037268 510801407040391599025502643232 510801361178227048746260338451 510804021960872611001827468403 510649651482367095959205073035 519605754933269626467142282666 34 510801406263289952965989193479 510801406263289952965989193480 510801406263289952965989193481 510801406263289952965989193482 510801406263289952965989193483 510801406263289952965989193484 510801406263289952965989193485 510801406263289952965989193486 510801406263289952965989193487 510801406263289952965989193488 510801406263289952965989193489 510801406263289952965989193490 510801406263289952965989193491 510801406263289952965989193492 510801406263289952965989193493 510801406263289952965989193494 510801406263289952965989193495 510801406263289952965989193496 510801406263289952965989193497 510801406263289952965989193498 510801406263289952965989193499 510801406263289952965989193500 510801406263289952965989193501 510801406263289952965989193502 510801406263289952965989193503 510801406263289952965989193504 510801406263289952965989193505 510801406263289952965989193506 510801406263289952965989193507 510801406263289952965989193508 510801406263289952965989193509 510801406263289952965989193510 510801406263289952965989193511 510801406263289952965989193512 510801406263289952965989193513 510801406263289952965989193514 510801406263289952965989193515 510801406263289952965989193516 510801406263289952965989193517 510801406263289952965989193518 510801406263289952965989193519 510801406263289952965989193520 510801406263289952965989193521 
29635136728536328055629416292276 29635136728536328055629416290451 29635136728536328055629416396587 29635136728536328055629410238300 29635136728536328055629767524068 29635136728536328055609038894512 29635136728536328056811650641829 29635136728536327987039791898181 29635136728536332034989833381061 29635136728536097185297802977966 29635136728549722446795983448470 29635136727759226409569902842506 29635136773621390959849145147287 29635134112838745397593578017335 29635288483317250912636200412703 29626332379866348382128263203072 30145938134799618008595405485704 36 29635136728536328055629416292258 29635136728536328055629416292257 29635136728536328055629416292256 29635136728536328055629416292255 29635136728536328055629416292254 29635136728536328055629416292253 29635136728536328055629416292252 29635136728536328055629416292251 29635136728536328055629416292250 29635136728536328055629416292249 29635136728536328055629416292248 29635136728536328055629416292247 29635136728536328055629416292246 29635136728536328055629416292245 29635136728536328055629416292244 29635136728536328055629416292243 29635136728536328055629416292242 29635136728536328055629416292241 29635136728536328055629416292240 29635136728536328055629416292239 29635136728536328055629416292238 29635136728536328055629416292237 29635136728536328055629416292236 29635136728536328055629416292235 29635136728536328055629416292234 29635136728536328055629416292233 29635136728536328055629416292232 29635136728536328055629416292231 29635136728536328055629416292230 29635136728536328055629416292229 29635136728536328055629416292228 29635136728536328055629416292227 29635136728536328055629416292226 29635136728536328055629416292225 29635136728536328055629416292224 29635136728536328055629416292223 29635136728536328055629416292222 29635136728536328055629416292221 29635136728536328055629416292220 29635136728536328055629416292219 29635136728536328055629416292218 29635136728536328055629416292217 
1719340076496104806395870091074043 1719340076496104806395870091075868 1719340076496104806395870090969732 1719340076496104806395870097128019 1719340076496104806395869739842251 1719340076496104806395890468471807 1719340076496104806394687856724490 1719340076496104806464459715468138 1719340076496104802416509673985258 1719340076496105037266201704388353 1719340076496091412004703523917849 1719340076496881908041929604523813 1719340076451019743491650362219032 1719340079111802389053905929348984 1719339924741323883538863306953616 1719348880844774786069371244163247 1718829275089841516442904101880615 1748975213224641134451499507366283 38 1719340076496104806395870091074062 1719340076496104806395870091074063 1719340076496104806395870091074064 1719340076496104806395870091074065 1719340076496104806395870091074066 1719340076496104806395870091074067 1719340076496104806395870091074068 1719340076496104806395870091074069 1719340076496104806395870091074070 1719340076496104806395870091074071 1719340076496104806395870091074072 1719340076496104806395870091074073 1719340076496104806395870091074074 1719340076496104806395870091074075 1719340076496104806395870091074076 1719340076496104806395870091074077 1719340076496104806395870091074078 1719340076496104806395870091074079 1719340076496104806395870091074080 1719340076496104806395870091074081 1719340076496104806395870091074082 1719340076496104806395870091074083 1719340076496104806395870091074084 1719340076496104806395870091074085 1719340076496104806395870091074086 1719340076496104806395870091074087 1719340076496104806395870091074088 1719340076496104806395870091074089 1719340076496104806395870091074090 1719340076496104806395870091074091 1719340076496104806395870091074092 1719340076496104806395870091074093 1719340076496104806395870091074094 1719340076496104806395870091074095 1719340076496104806395870091074096 1719340076496104806395870091074097 1719340076496104806395870091074098 1719340076496104806395870091074099 1719340076496104806395870091074100 1719340076496104806395870091074101 1719340076496104806395870091074102 
99750857427261617319846730752464755 99750857427261617319846730752462930 99750857427261617319846730752569066 99750857427261617319846730746410779 99750857427261617319846731103696547 99750857427261617319846710375066991 99750857427261617319847912986814308 99750857427261617319778141128070660 99750857427261617323826091169553540 99750857427261617088976399139150445 99750857427261630714237897319620949 99750857427260840218200671239014985 99750857427306702382750950481319766 99750857424645919737188694914189814 99750857579016398242703737536585182 99750848622912947340173229599375551 99751368228667880609799696741658183 99721222290533080991791101336172515 101470197503757722126242600843538760 40 99750857427261617319846730752464735 99750857427261617319846730752464734 99750857427261617319846730752464733 99750857427261617319846730752464732 99750857427261617319846730752464731 99750857427261617319846730752464730 99750857427261617319846730752464729 99750857427261617319846730752464728 99750857427261617319846730752464727 99750857427261617319846730752464726 99750857427261617319846730752464725 99750857427261617319846730752464724 99750857427261617319846730752464723 99750857427261617319846730752464722 99750857427261617319846730752464721 99750857427261617319846730752464720 99750857427261617319846730752464719 99750857427261617319846730752464718 99750857427261617319846730752464717 99750857427261617319846730752464716 99750857427261617319846730752464715 99750857427261617319846730752464714 99750857427261617319846730752464713 99750857427261617319846730752464712 99750857427261617319846730752464711 99750857427261617319846730752464710 99750857427261617319846730752464709 99750857427261617319846730752464708 99750857427261617319846730752464707 99750857427261617319846730752464706 99750857427261617319846730752464705 99750857427261617319846730752464704 99750857427261617319846730752464703 99750857427261617319846730752464702 99750857427261617319846730752464701 99750857427261617319846730752464700 99750857427261617319846730752464699 99750857427261617319846730752464698 99750857427261617319846730752464697 99750857427261617319846730752464696 
5787239937867182370808619988263859631 5787239937867182370808619988263861456 5787239937867182370808619988263755320 5787239937867182370808619988269913607 5787239937867182370808619987912627839 5787239937867182370808620008641257395 5787239937867182370808618806029510078 5787239937867182370808688577888253726 5787239937867182370804640627846770846 5787239937867182371039490319877173941 5787239937867182357414228821696703437 5787239937867183147910266047777309401 5787239937867137285745715768535004620 5787239937869798068391278024102134572 5787239937715427589885762981479739204 5787239946671531040788293489416948835 5787239427065776107518667022274666203 5787269573003910907136675617680151871 5785520597790686266002224118172785626 5886990795294443988128466719016324346 42 5787239937867182370808619988263859652 5787239937867182370808619988263859653 5787239937867182370808619988263859654 5787239937867182370808619988263859655 5787239937867182370808619988263859656 5787239937867182370808619988263859657 5787239937867182370808619988263859658 5787239937867182370808619988263859659 5787239937867182370808619988263859660 5787239937867182370808619988263859661 5787239937867182370808619988263859662 5787239937867182370808619988263859663 5787239937867182370808619988263859664 5787239937867182370808619988263859665 5787239937867182370808619988263859666 5787239937867182370808619988263859667 5787239937867182370808619988263859668 5787239937867182370808619988263859669 5787239937867182370808619988263859670 5787239937867182370808619988263859671 5787239937867182370808619988263859672 5787239937867182370808619988263859673 5787239937867182370808619988263859674 5787239937867182370808619988263859675 5787239937867182370808619988263859676 5787239937867182370808619988263859677 5787239937867182370808619988263859678 5787239937867182370808619988263859679 5787239937867182370808619988263859680 5787239937867182370808619988263859681 5787239937867182370808619988263859682 5787239937867182370808619988263859683 5787239937867182370808619988263859684 5787239937867182370808619988263859685 5787239937867182370808619988263859686 5787239937867182370808619988263859687 5787239937867182370808619988263859688 5787239937867182370808619988263859689 5787239937867182370808619988263859690 
335757977046637830557962296445435419534 335757977046637830557962296445435417709 335757977046637830557962296445435523845 335757977046637830557962296445429365558 335757977046637830557962296445786651326 335757977046637830557962296425058021770 335757977046637830557962297627669769087 335757977046637830557962227855811025439 335757977046637830557966275805852508319 335757977046637830557731426113822105224 335757977046637830571356687612002575728 335757977046637829780860650385921969764 335757977046637875643025200665164274545 335757977046635214860379638409597144593 335757977046789585338885153452219539961 335757977037833481887982622944282330330 335757977557439236821252249411424612962 335757947411501102021634240816019127294 335759696386714326662768692315526493539 335658226189210568940642449714682954819 341545216984505012928770916433699279123 44 335757977046637830557962296445435419512 335757977046637830557962296445435419511 335757977046637830557962296445435419510 335757977046637830557962296445435419509 335757977046637830557962296445435419508 335757977046637830557962296445435419507 335757977046637830557962296445435419506 335757977046637830557962296445435419505 335757977046637830557962296445435419504 335757977046637830557962296445435419503 335757977046637830557962296445435419502 335757977046637830557962296445435419501 335757977046637830557962296445435419500 335757977046637830557962296445435419499 335757977046637830557962296445435419498 335757977046637830557962296445435419497 335757977046637830557962296445435419496 335757977046637830557962296445435419495 335757977046637830557962296445435419494 335757977046637830557962296445435419493 335757977046637830557962296445435419492 335757977046637830557962296445435419491 335757977046637830557962296445435419490 335757977046637830557962296445435419489 335757977046637830557962296445435419488 335757977046637830557962296445435419487 335757977046637830557962296445435419486 335757977046637830557962296445435419485 335757977046637830557962296445435419484 335757977046637830557962296445435419483 335757977046637830557962296445435419482 335757977046637830557962296445435419481 335757977046637830557962296445435419480 335757977046637830557962296445435419479 335757977046637830557962296445435419478 335757977046637830557962296445435419477 335757977046637830557962296445435419476 335757977046637830557962296445435419475 
19479651847992520101681559476697386631732 19479651847992520101681559476697386633557 19479651847992520101681559476697386527421 19479651847992520101681559476697392685708 19479651847992520101681559476697035399940 19479651847992520101681559476717764029496 19479651847992520101681559475515152282179 19479651847992520101681559545287011025827 19479651847992520101681555497336969542947 19479651847992520101681790347028999946042 19479651847992520101668165085530819475538 19479651847992520102458661122756900081502 19479651847992520056596496572477657776721 19479651847992522717379142134733224906673 19479651847992368346900636619690602511305 19479651848001324450351539150198539720936 19479651847481718695418269523731397438304 19479651877627656830217887532326802923972 19479650128652443605576753080827295557727 19479751598849947363298879323428139096447 19473864608054652919310750856709122772143 19815409825039157932239521773142822051222 46 19479651847992520101681559476697386631755 19479651847992520101681559476697386631756 19479651847992520101681559476697386631757 19479651847992520101681559476697386631758 19479651847992520101681559476697386631759 19479651847992520101681559476697386631760 19479651847992520101681559476697386631761 19479651847992520101681559476697386631762 19479651847992520101681559476697386631763 19479651847992520101681559476697386631764 19479651847992520101681559476697386631765 19479651847992520101681559476697386631766 19479651847992520101681559476697386631767 19479651847992520101681559476697386631768 19479651847992520101681559476697386631769 19479651847992520101681559476697386631770 19479651847992520101681559476697386631771 19479651847992520101681559476697386631772 19479651847992520101681559476697386631773 19479651847992520101681559476697386631774 19479651847992520101681559476697386631775 19479651847992520101681559476697386631776 19479651847992520101681559476697386631777 19479651847992520101681559476697386631778 19479651847992520101681559476697386631779 19479651847992520101681559476697386631780 19479651847992520101681559476697386631781 19479651847992520101681559476697386631782 19479651847992520101681559476697386631783 19479651847992520101681559476697386631784 19479651847992520101681559476697386631785 19479651847992520101681559476697386631786 19479651847992520101681559476697386631787 19479651847992520101681559476697386631788 19479651847992520101681559476697386631789 19479651847992520101681559476697386631790 19479651847992520101681559476697386631791 
1130149875981325277798768665662031727761254 1130149875981325277798768665662031727759429 1130149875981325277798768665662031727865565 1130149875981325277798768665662031721707278 1130149875981325277798768665662032078993046 1130149875981325277798768665662011350363490 1130149875981325277798768665663213962110807 1130149875981325277798768665593442103367159 1130149875981325277798768669641392144850039 1130149875981325277798768434791700114446944 1130149875981325277798782060053198294917448 1130149875981325277797991564015972214311484 1130149875981325277843853728566251456616265 1130149875981325275183071083003995889486313 1130149875981325429553549588519038511881681 1130149875981316473450098685988530574672050 1130149875981836079205031955614997716954682 1130149875951690141070232337606402311469014 1130149877700665354294873472057901818835259 1130149776230467850537151345815300975296539 1130155663221263144981139474282019991620843 1129814118004278639968210703365586292341764 1149629527829317797900450225138729114392940 48 1130149875981325277798768665662031727761230 1130149875981325277798768665662031727761229 1130149875981325277798768665662031727761228 1130149875981325277798768665662031727761227 1130149875981325277798768665662031727761226 1130149875981325277798768665662031727761225 1130149875981325277798768665662031727761224 1130149875981325277798768665662031727761223 1130149875981325277798768665662031727761222 1130149875981325277798768665662031727761221 1130149875981325277798768665662031727761220 1130149875981325277798768665662031727761219 1130149875981325277798768665662031727761218 1130149875981325277798768665662031727761217 1130149875981325277798768665662031727761216 1130149875981325277798768665662031727761215 1130149875981325277798768665662031727761214 1130149875981325277798768665662031727761213 1130149875981325277798768665662031727761212 1130149875981325277798768665662031727761211 1130149875981325277798768665662031727761210 1130149875981325277798768665662031727761209 1130149875981325277798768665662031727761208 1130149875981325277798768665662031727761207 1130149875981325277798768665662031727761206 1130149875981325277798768665662031727761205 1130149875981325277798768665662031727761204 1130149875981325277798768665662031727761203 1130149875981325277798768665662031727761202 1130149875981325277798768665662031727761201 1130149875981325277798768665662031727761200 1130149875981325277798768665662031727761199 1130149875981325277798768665662031727761198 1130149875981325277798768665662031727761197 1130149875981325277798768665662031727761196 1130149875981325277798768665662031727761195 
65567842389967099520529025951860954293663737 65567842389967099520529025951860954293665562 65567842389967099520529025951860954293559426 65567842389967099520529025951860954299717713 65567842389967099520529025951860953942431945 65567842389967099520529025951860974671061501 65567842389967099520529025951859772059314184 65567842389967099520529025951929543918057832 65567842389967099520529025947881593876574952 65567842389967099520529026182731285906978047 65567842389967099520529012557469787726507543 65567842389967099520529803053507013807113507 65567842389967099520483940888956734564808726 65567842389967099523144723534518990131938678 65567842389967099368774245029003947509543310 65567842389967108324877695931534455446752941 65567842389966588719122762661907988304470309 65567842389996734657257562279916583709955977 65567842388247759444032921145465084202589732 65567842489717956947790643271707685046128452 65567836602727161653346655143240966029804148 65568178147944146158359583914157399729083227 65548362738119107000427344392384256907032051 66697992265948424798327794617522986021424943 50 65567842389967099520529025951860954293663762 65567842389967099520529025951860954293663763 65567842389967099520529025951860954293663764 65567842389967099520529025951860954293663765 65567842389967099520529025951860954293663766 65567842389967099520529025951860954293663767 65567842389967099520529025951860954293663768 65567842389967099520529025951860954293663769 65567842389967099520529025951860954293663770 65567842389967099520529025951860954293663771 65567842389967099520529025951860954293663772 65567842389967099520529025951860954293663773 65567842389967099520529025951860954293663774 65567842389967099520529025951860954293663775 65567842389967099520529025951860954293663776 65567842389967099520529025951860954293663777 65567842389967099520529025951860954293663778 65567842389967099520529025951860954293663779 65567842389967099520529025951860954293663780 65567842389967099520529025951860954293663781 65567842389967099520529025951860954293663782 65567842389967099520529025951860954293663783 65567842389967099520529025951860954293663784 65567842389967099520529025951860954293663785 65567842389967099520529025951860954293663786 65567842389967099520529025951860954293663787 65567842389967099520529025951860954293663788 65567842389967099520529025951860954293663789 65567842389967099520529025951860954293663790 65567842389967099520529025951860954293663791 65567842389967099520529025951860954293663792 65567842389967099520529025951860954293663793 65567842389967099520529025951860954293663794 65567842389967099520529025951860954293663795 65567842389967099520529025951860954293663796 
